Eskimo,Native Americans
Etch,Indians
Etchy,Whites
Etnikum,Gypsy
Eucalyptus Nigger,Australian Aboriginals
Eurinal,Europeans
Euro,Mediterraneans
Eurotrash,Europeans
Ewok,Arabs
Extra Crispy,Blacks
F.B.I.,Irish
Fabo,Australian Aboriginals
Fadi,Arabs
Fahim,Blacks
Fake Mexican,Hispanics
Fakey Jamaikey,Blacks
Falasha,Jews
Fan Kuei,Whites
Farang,Whites
Farang/Falang,Whites
Farq,Whites
Fat Albert,Blacks
FBI,Native Americans
Feargal,Blacks
Feather,Native Americans
Featherhead,Native Americans
Feb,Blacks
Feb,British
Felipe Parkhurst,Guatemalans
Fence Fairy,Mexicans
Fence-Hopper,Mexicans
Fenian,Irish
Fesskin,Mexicans
Fez,Arabs
Fidel,Hispanics
Field Nigger,Blacks
Field Rat,Mexicans
Fig Gobbler,Arabs
FILA,Blacks
Fili Cheese Steak,Filipinos
Filthy Pino,Filipinos
Fingernail Rancher,Asians
Finne,Finnish
Firangi,Whites
Fire Bush,Irish
Fire Crotch,Irish
Firecracker,Whites
Firecracker,Arabs
Firewood,Jews
Fischkopf,Germans
Fish,Israelis
Fish,Portuguese
Fish,Bengals
Fish-Belly,Whites
Fish-Eater,Norwegians
Fishhead,Asians
Flash,Americans
Flat-ass,Whites
Flat-Back,Whites
Flease,Greeks
Fligga,Filipinos
Fligger,Filipinos
Flip,Filipinos
Flipper,Mixed Races
Flipsican,Mixed Races
Flock of Seagulls,Whites
Floppy,Blacks
Floss,Asians
Flour Bag,Whites
FOB,Immigrants
FOB,Mexicans
Foedy,Blacks
FOF,Mexicans
Fog Horn,British
Fog Nigger,English
Fog-Breather,British
Fonzie,Italians
Fort Injun/Indian,Native Americans
Forty-Fiver,Chinese
Foster,Australians
Fountain Swimmer,Australian Aboriginals
Four By Two,Jews
Four Footer,Mexicans
Franklin,Blacks
Frasier,Blacks
Fremen,Arabs
Fritz,Germans
FroBro,Blacks
Frog,French
Frogman,Colombians
Frostback,Canadians
Frostbite,Blacks
Frosty,Whites
Frotch,Irish
Frozen Frog,French Canadians
Fruit-Picker,Hispanics
FUBU,Blacks
Fuji,Japanese
Fumblin' Dublin,Irish
Fur Licker,French
Future Inmate,Blacks
G/Gee,Blacks
Gabacho,Whites
Gádzsó,Hungarians
Gai-jin,Whites
Gai-ko,Whites
Gallego,Spaniards
Galleta,Whites
Gandhi,Indians
Ganesh,Indians
Gans,Latvians
Gar,Blacks
Garden Gnome,Hispanics
Gardner,Hispanics
Gargamel,Jews
Garlic Bread,Italians
Garlic Breath,Italians
Gas Huffer,Native Americans
Gas Pumper,Indians
Gasbag,Native Americans
Gatemaster,Jews
Gatorbait,Blacks
Gavacho,Whites
GED,Blacks
Geechee,Blacks
Geep,Italians
General Tso,Chinese
Germ,Germans
German Candle,Jews
German Oven Mitt,Jews
Gew,Jews
Ghengi,Mongolians
Ghetto,Blacks
Ghetto Hamster,Blacks
Ghetto Monkey,Blacks
Ghinder,Indians
Ghost,Whites
Ghost Rider,Blacks
Ghoul,Whites
Gilligan,Whites
Gimmie,Arabs
Gimpy,Blacks
Gin,Australian Aboriginals
Gina,Italians
Gingerbread Man,Jews
Gink,Asians
Ginny,Italians
Gino,Italians
Ginzo,Italians
Glass Nigger,Arabs
Glendale,Armenians
Glocky,Blacks
Glonni,Native Americans
Goat Roper,Arabs
Goat Roper,Whites
Goatbanger,Greeks
GOB,Whites
Gobbler,Greeks
Godzilla Snack,Japanese
Goggles,Australian Aboriginals
Goldberg,Jews
Golden Toe,Whites
Goldfish Monger,Asians
Goldie,Jews
Golliwog,Blacks
Goloid,Asians
Gomer,Whites
Gong Fei,Chinese
Goober,Whites
Gook,Vietnamese
Gookaniese,Vietnamese
Gookemon,Asians
Gookie Monster,Vietnamese
Goombah,Italians
Goon Ninja,Australian Aboriginals
Gor,Blacks
Gora,Whites
Gord,Canadians
Gordita,Mexicans
Gorilla,Blacks
Gorilla Head,Whites
Goulash,Hungarians
Goy/Goyim,Whites
Goya,Hispanics
Graham Cracker,Mixed Races
Grand Dragon,Whites
Grape-Smasher,Italians
Grape-Stomper,Italians
Grapico,Blacks
Grasshopper,Asians
Grasshopper,Mexicans
Gravelbellies,Hispanics
Gray,Whites
Grayboy/girl,Whites
Grease Ball,Italians
Grease Ball/Bag,Greeks
Greaser,Mexicans
Greaser,Blacks
Great Satan,Americans
Greek-arican,Mixed Races
Green,Irish
Green Bean,Mixed Races
Green Nigger,Irish
Greenhorn,Portuguese
Grenade,Arabs
Grinder,Asians
Gringo,Whites
Gro,Blacks
Groid,Blacks
Gronesha,Blacks
Groundskeeper Willie,Scottish
Grout,Germans
GTA,Blacks
Guachupine,Spaniards
Guancaca,Salvadorans
Guati,Guatemalans
Gubba,Australians
Guero,Whites
Guero/Guera,Whites
Guerro,Whites
Guffie,English
Guido,Italians
Guinea Pig,Italians
Guinea/Ginney,Italians
Gulper,Vietnamese
Gumby,Macedonians
Gump,Whites
Gunmaker,Columbian
Guppie,Greeks
Gupta,Indians
Gurrya,Whites
Gusak,Whites
Gut-Eater,Native Americans
Guttermonkey,Blacks
Gwai-lo,Whites
Gwat,Central Americans
Gyp/Gyppo,Egyptians
Gypsy,Romanians
HAB,Asians
Habib,Indians
Habibi,Arabs
Hadji,Indians
Haggis,Scottish
Haggistani,Scottish
Hagwei/Hayquay,Blacks
Hakui,Blacks
Halee Halaa,Indians
Half Baked,Mixed Races
Half Breed,Mixed Races
Half Cast,Mixed Races
Half-a-gas-can,Native Americans
Half-Dick,Jews
Half-Human,Blacks
Halfrican,Mixed Races
Halfro,Mixed Races
Halfula,Mixed Races
Hambone,Blacks
Hamburger,Americans
Hamilton,Indians
Hanah,Jews
Hans Bitterman,Germans
Haole,Whites
Hapa,Pacific Islanders
Hapshi,Africans
Harbor-Bomber,Japanese
Harlem,Blacks
Harp,Irish
Harpoon-Chucker,Eskimos
Hatchet-Packer,Native Americans
Haunt,Blacks
Hawaga/Khawaga,Whites
Hay Seed,Whites
Head Hunters,Polynesians
Head-bangers,Muslims
Hear-em-screama,Japanese
Hebe/Heeb,Jews
Hebro,Jews
Heebarican,Mixed Races
Heinee,Germans
Heinz,Mixed Races
Helo,Whites
Hendrix,Blacks
Hentai,Japanese
Herm,Germans
Herring Choker,Scandinavians
Hibe,Irish
Hick,Whites
Hickory-Smoked,Jews
Higger,Indians
High Yellow,Blacks
Highboots,Greeks
Hightalians,Italians
Hillbilly,Whites
Hillbilly,Scottish
Hilljack,Whites
Hillwilliam,Whites
Himey,Jews
Hispandex,Hispanics
Hitler,Germans
HNIC,Blacks
Ho Baas,Blacks
Ho De Doz,Blacks
Ho-chi,Vietnamese
Hohol,Ukranians
Hollowhead,Dutch
Holly,Whites
Holy Shit,Blacks
Homey/Homie,Blacks
Homocrat,Greeks
Honger,Chinese
Honkaloid,Whites
Honky/Honkie,Whites
Honky/Honkie,Asians
Hooknose,Jews
Hoon,Australians
Hoopie,Whites
Hoopty,Blacks
Hoosier,Whites
Hootie,Blacks
Hop-Sing,Chinese
Hori,Maori
Horse-Gums,Blacks
Horseface,Whites
Horvitz,Jews
Hoser,Canadians
Hot Dog Eater,Americans
Hot Footer,Hispanics
Hot Pocket,Jews
Hotel,Blacks
Hothead,Italians
Hotnot,Blacks
House Nigger,Blacks
Housekeeping,Hispanics
Howdy,Whites
HP,Whites
Hucka-lucka,Arabs
Huey,Blacks
Huff,Native Americans
Huk,Filipinos
Hun,Germans
Hunkie,Hungarians
Hunyak,Polish
Hurammi,Arabs
Hurri,Swedes
Huskie,Eskimos
Hutch,Blacks
Huxtable,Blacks
Hymie,Jews
I P's,Blacks
I-Tie,Italians
Ian,Armenians
Ice Monkey,Finnish
Ice Nigger,Canadians
Iceback,Canadians
Ikey-Mo,Jews
Imitasian,Whites
Imperialist,Americans
In-Betweener,Puerto Ricans
Incognegro,Whites
Indian,Native Americans
Indijew,Mixed Races
Indo,Indonesians
Indon,Indonesians
Indonigger,Indians
Init,Native Americans
Injun,Native Americans
Inky,Blacks
Interesting,Jews
Inverse Raddish,Russians
Iraqi Pete,Arabs
IROC,Italians
Ironing Board,Asians
Isaac,Jews
Island Beaner,Cubans
Island Monkey,English
Island Nigger,Polynesians
Itch,Yugoslavs
Ivan,Russians
Ivory,Whites
J.J.,Blacks
Jab,Indians
Jabonee,Italians
Jackamammy,Blacks
Jacker,Arabs
Jackpot,Blacks
Jafa,Australians
Jafa,Australian Aboriginals
Jafaken,Whites
Jagger,Mixed Races
Jake,Americans
Jam Bun,Germans
Jamairican,Jamaicans
Jambo,Blacks
Jandel,Polynesians
Jane Goodall,Whites
Jank,Japanese
Janner,English
Jap,Japanese
JAP,Jews
Japanigger,Asians
Japansy,Japanese
Jar Jar,Blacks
Jar-Head/Jarhead,Americans
Jarhead,Americans
Jaundy Boy,Asians
Jawa,Arabs
Jeeves,British
Jek,Chinese
Jellybean,Blacks
Jerry,Germans
Jerry Curl,Blacks
Jersey-Dweller,Blacks
Jesus Killer,Jews
Jet,Blacks
Jew,Jews
Jew Burner,Germans
Jew Jew Bee,Jews
Jew Killer,Germans
Jew Yorker,Jews
Jew-Bag,Jews
Jewbacca,Jews
Jewban,Mixed Races
Jewbling,Jews
Jewbrew,Jews
Jewbu,Jews
Jewess,Jews
Jewgaboo,Jews
Jewlet,Jews
Jewmaican,Jews
Jewop,Mixed Races
Jewpac,Jews
Jewpidity,Jews
Jewrab,Mixed Races
Jewrican,Mixed Races
Jewronimo,Mixed Races
Jewxican,Mixed Races
Jibaro,Puerto Ricans
Jiffy Pop,Blacks
Jig,Blacks
Jig,Japanese
Jig,Native Americans
Jig And A Pig,Blacks
Jig-Abdul,Arabs
Jigaboo,Blacks
Jigabrew,Mixed Races
Jigga,Blacks
Jigger,Mixed Races
Jihad,Arabs
Jihadi,Arabs
Jim,Blacks
Jim Crow,Blacks
Jin,Australian Aboriginals
Jin,Asians
Jink,Mixed Races
Jish,Jewish
Jjanggae,Chinese
